,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__min_samples_split,param_tree__max_leaf_nodes,param_tree__max_depth,param_tree__ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
284,0.06651242574055989,0.001933511757026185,0.00960691769917806,0.0004147610505570943,2,70,21,0.4309006986219308,"{'tree__ccp_alpha': 0.4309006986219308, 'tree__max_depth': 21, 'tree__max_leaf_nodes': 70, 'tree__min_samples_split': 2}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
461,0.0461274782816569,0.002347683526566043,0.009305079778035482,0.0016064422156811813,5,27,82,0.11738987821444166,"{'tree__ccp_alpha': 0.11738987821444166, 'tree__max_depth': 82, 'tree__max_leaf_nodes': 27, 'tree__min_samples_split': 5}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
479,0.06249427795410156,0.0047156466071475054,0.00784627596537272,0.004439413877181171,2,57,31,0.1852915791059745,"{'tree__ccp_alpha': 0.1852915791059745, 'tree__max_depth': 31, 'tree__max_leaf_nodes': 57, 'tree__min_samples_split': 2}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
480,0.05885831514994303,0.00560044839137191,0.011293888092041016,0.00022269911914987018,7,56,62,0.09634861487070231,"{'tree__ccp_alpha': 0.09634861487070231, 'tree__max_depth': 62, 'tree__max_leaf_nodes': 56, 'tree__min_samples_split': 7}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
281,0.06679240862528484,0.00021067366226940266,0.0073851744333903,0.004860749394595959,2,79,22,0.26821379410899443,"{'tree__ccp_alpha': 0.26821379410899443, 'tree__max_depth': 22, 'tree__max_leaf_nodes': 79, 'tree__min_samples_split': 2}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
280,0.06268739700317383,0.005002233350314504,0.007628281911214192,0.004521640786327493,8,70,92,2.7917249807038407,"{'tree__ccp_alpha': 2.7917249807038407, 'tree__max_depth': 92, 'tree__max_leaf_nodes': 70, 'tree__min_samples_split': 8}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
481,0.06279230117797852,0.004263684776870977,0.009049336115519205,0.005210145937964156,9,86,19,0.3527792300311441,"{'tree__ccp_alpha': 0.3527792300311441, 'tree__max_depth': 19, 'tree__max_leaf_nodes': 86, 'tree__min_samples_split': 9}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
483,0.06646180152893066,0.00044251515935606327,0.01108694076538086,0.0003618644275551412,3,86,78,0.595729664025944,"{'tree__ccp_alpha': 0.595729664025944, 'tree__max_depth': 78, 'tree__max_leaf_nodes': 86, 'tree__min_samples_split': 3}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
484,0.022254149119059246,7.431991487456776e-05,0.011086384455362955,0.0001704030067401603,10,5,92,2.7551858736769423,"{'tree__ccp_alpha': 2.7551858736769423, 'tree__max_depth': 92, 'tree__max_leaf_nodes': 5, 'tree__min_samples_split': 10}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
486,0.06957753499348958,0.005620085631906418,0.004420280456542969,0.0032619761419375665,9,94,32,6.557826617700299,"{'tree__ccp_alpha': 6.557826617700299, 'tree__max_depth': 32, 'tree__max_leaf_nodes': 94, 'tree__min_samples_split': 9}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
364,0.04269814491271973,0.002688956617693483,0.0097198486328125,0.001214232343809743,2,21,33,0.3327554790199518,"{'tree__ccp_alpha': 0.3327554790199518, 'tree__max_depth': 33, 'tree__max_leaf_nodes': 21, 'tree__min_samples_split': 2}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
458,0.059076944986979164,0.0031186893052630154,0.011669635772705078,0.002302380809671488,7,52,36,2.6224930796250603,"{'tree__ccp_alpha': 2.6224930796250603, 'tree__max_depth': 36, 'tree__max_leaf_nodes': 52, 'tree__min_samples_split': 7}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
380,0.05444931983947754,0.0010711390829254252,0.005991776784261067,0.0037464433004316283,4,56,14,4.458019666798397,"{'tree__ccp_alpha': 4.458019666798397, 'tree__max_depth': 14, 'tree__max_leaf_nodes': 56, 'tree__min_samples_split': 4}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
455,0.045836289723714195,0.0012953039724629834,0.01100937525431315,0.0012972293956172339,3,32,91,0.33617114274807813,"{'tree__ccp_alpha': 0.33617114274807813, 'tree__max_depth': 91, 'tree__max_leaf_nodes': 32, 'tree__min_samples_split': 3}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
424,0.04585131009419759,0.0022526153956389256,0.006581226984659831,0.004444349600735566,6,17,38,0.1407520635298079,"{'tree__ccp_alpha': 0.1407520635298079, 'tree__max_depth': 38, 'tree__max_leaf_nodes': 17, 'tree__min_samples_split': 6}",0.5685111989459816,0.5678524374176548,0.5678524374176548,0.5680720245937637,0.0003105431625764529,353,True
