,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,tree__max_depth,tree__min_samples_split,tree__max_leaf_nodes,tree__ccp_alpha
13,0.1819156010945638,0.00033838029946747696,0.030272165934244793,0.001417184867002394,0,50,57,8,"{'tree__ccp_alpha': 0, 'tree__max_depth': 50, 'tree__max_leaf_nodes': 57, 'tree__min_samples_split': 8}",0.9660899653979239,0.9659515570934256,0.9678892733564014,0.9666435986159171,0.0008826355926047962,28,50,8,57,0.0
161,0.16842921574910483,0.00642647167872699,0.029732624689737957,0.0012444357003926145,1.0747969412999194e-05,40,62,3,"{'tree__ccp_alpha': 1.0747969412999194e-05, 'tree__max_depth': 40, 'tree__max_leaf_nodes': 62, 'tree__min_samples_split': 3}",0.9674740484429065,0.9655363321799308,0.9667820069204153,0.9665974625144176,0.0008017599629518775,29,40,3,62,1.0747969412999194e-05
194,0.17660228411356607,0.0025583092873276477,0.02756476402282715,0.0005621310477922536,0.00039253807998535135,82,57,6,"{'tree__ccp_alpha': 0.00039253807998535135, 'tree__max_depth': 82, 'tree__max_leaf_nodes': 57, 'tree__min_samples_split': 6}",0.9660899653979239,0.9659515570934256,0.9677508650519031,0.9665974625144176,0.0008175338014610873,29,82,6,57,0.00039253807998535135
195,0.19451387723286948,0.0216054543049672,0.031621297200520836,0.002200276118104264,0,41,58,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 41, 'tree__max_leaf_nodes': 58, 'tree__min_samples_split': 4}",0.9670588235294117,0.9648442906574395,0.9674740484429065,0.9664590542099193,0.0011543248907216984,31,41,4,58,0.0
189,0.17291935284932455,0.003910343347935094,0.028688748677571613,0.0003435108065684311,8.686974921923029e-06,37,89,2,"{'tree__ccp_alpha': 8.686974921923029e-06, 'tree__max_depth': 37, 'tree__max_leaf_nodes': 89, 'tree__min_samples_split': 2}",0.9680276816608997,0.965121107266436,0.9662283737024221,0.9664590542099192,0.0011977628591231838,32,37,2,89,8.686974921923029e-06
136,0.17770560582478842,0.005367405774064602,0.02857184410095215,0.0006952462643247119,3.305932678726586e-05,63,56,7,"{'tree__ccp_alpha': 3.305932678726586e-05, 'tree__max_depth': 63, 'tree__max_leaf_nodes': 56, 'tree__min_samples_split': 7}",0.9663667820069204,0.9652595155709343,0.9676124567474048,0.9664129181084199,0.0009611380233448394,33,63,7,56,3.305932678726586e-05
182,0.17085750897725424,0.0009738435279933493,0.028470357259114582,0.005170246454836989,0.00016876409540787622,99,56,7,"{'tree__ccp_alpha': 0.00016876409540787622, 'tree__max_depth': 99, 'tree__max_leaf_nodes': 56, 'tree__min_samples_split': 7}",0.9663667820069204,0.9652595155709343,0.9674740484429065,0.9663667820069204,0.0009040792591587055,34,99,7,56,0.00016876409540787622
104,0.16422343254089355,0.001755103251902892,0.02919316291809082,0.0008817582297062536,0,39,62,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 39, 'tree__max_leaf_nodes': 62, 'tree__min_samples_split': 9}",0.9667820069204153,0.9641522491349481,0.9667820069204153,0.9659054209919261,0.0012396797086546248,35,39,9,62,0.0
121,0.1647170384724935,0.0011481370794966066,0.028865734736124676,0.00015063304360390955,0,35,78,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 35, 'tree__max_leaf_nodes': 78, 'tree__min_samples_split': 4}",0.9673356401384083,0.9641522491349481,0.9655363321799308,0.9656747404844291,0.0013032938308489546,36,35,4,78,0.0
162,0.18346397082010904,0.009913391883583554,0.029802481333414715,0.0016004435767973163,0,51,54,2,"{'tree__ccp_alpha': 0, 'tree__max_depth': 51, 'tree__max_leaf_nodes': 54, 'tree__min_samples_split': 2}",0.9652595155709343,0.9641522491349481,0.9659515570934256,0.965121107266436,0.0007410555203787237,37,51,2,54,0.0
53,0.16878414154052734,0.001301578143203041,0.028599023818969727,0.0004988644658249024,0,100,53,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 100, 'tree__max_leaf_nodes': 53, 'tree__min_samples_split': 4}",0.9644290657439446,0.9631833910034602,0.9658131487889273,0.964475201845444,0.001074089663374662,38,100,4,53,0.0
2,0.16683626174926758,0.0030459004308198935,0.026108344395955402,0.004525870882028764,0,64,53,2,"{'tree__ccp_alpha': 0, 'tree__max_depth': 64, 'tree__max_leaf_nodes': 53, 'tree__min_samples_split': 2}",0.9644290657439446,0.9631833910034602,0.9658131487889273,0.964475201845444,0.001074089663374662,38,64,2,53,0.0
179,0.16030287742614746,0.002016646861115358,0.030402501424153645,0.0021466085438787293,0.0002674508369022974,34,56,10,"{'tree__ccp_alpha': 0.0002674508369022974, 'tree__max_depth': 34, 'tree__max_leaf_nodes': 56, 'tree__min_samples_split': 10}",0.965121107266436,0.962076124567474,0.9637370242214532,0.9636447520184545,0.001244820075038703,40,34,10,56,0.0002674508369022974
98,0.16951473553975424,0.0019919878736249265,0.027597347895304363,0.00026365611992402505,0,56,51,8,"{'tree__ccp_alpha': 0, 'tree__max_depth': 56, 'tree__max_leaf_nodes': 51, 'tree__min_samples_split': 8}",0.9623529411764706,0.9624913494809688,0.9644290657439446,0.9630911188004614,0.0009477572587854084,41,56,8,51,0.0
35,0.15985004107157388,0.00029873586856316297,0.03848703702290853,0.0003975796592762318,0,32,68,6,"{'tree__ccp_alpha': 0, 'tree__max_depth': 32, 'tree__max_leaf_nodes': 68, 'tree__min_samples_split': 6}",0.9638754325259515,0.961522491349481,0.9635986159169551,0.9629988465974625,0.001050039831763877,42,32,6,68,0.0
150,0.1636845270792643,0.0046120230863669264,0.03002341588338216,0.0012258969323825342,0,57,50,6,"{'tree__ccp_alpha': 0, 'tree__max_depth': 57, 'tree__max_leaf_nodes': 50, 'tree__min_samples_split': 6}",0.9616608996539793,0.9622145328719723,0.9637370242214532,0.9625374855824683,0.0008777991967907591,43,57,6,50,0.0
181,0.1576220989227295,0.002017779776900885,0.030564626057942707,0.0010260928562745098,0,53,47,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 53, 'tree__max_leaf_nodes': 47, 'tree__min_samples_split': 9}",0.9604152249134948,0.96,0.9623529411764706,0.9609227220299884,0.0010254261024633643,44,53,9,47,0.0
