,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
87,0.1640946865081787,0.0021234385135024928,0.028535207112630207,0.0011314965696882602,3.7100137821662724e-06,79,51,7,"{'tree__ccp_alpha': 3.7100137821662724e-06, 'tree__max_depth': 79, 'tree__max_leaf_nodes': 51, 'tree__min_samples_split': 7}",0.9627681660899654,0.9635986159169551,0.9616608996539793,0.9626758938869665,0.0007937555033026663,14
32,0.17252914110819498,0.001527242254279157,0.02899654706319173,0.0007228620217794274,0.0005604086052612713,36,97,3,"{'tree__ccp_alpha': 0.0005604086052612713, 'tree__max_depth': 36, 'tree__max_leaf_nodes': 97, 'tree__min_samples_split': 3}",0.9624913494809688,0.9627681660899654,0.961522491349481,0.9622606689734717,0.0005340639862878912,15
45,0.15806953112284342,0.004945102507183393,0.028728167215983074,0.0002531436763341401,2.803461040071203e-05,31,75,5,"{'tree__ccp_alpha': 2.803461040071203e-05, 'tree__max_depth': 31, 'tree__max_leaf_nodes': 75, 'tree__min_samples_split': 5}",0.9598615916955018,0.9637370242214532,0.9627681660899654,0.9621222606689734,0.00164674217278656,16
95,0.16594465573628744,0.0035323459664500646,0.02990563710530599,0.00031602478340973306,0.0005824103364930186,48,48,2,"{'tree__ccp_alpha': 0.0005824103364930186, 'tree__max_depth': 48, 'tree__max_leaf_nodes': 48, 'tree__min_samples_split': 2}",0.9611072664359862,0.9619377162629758,0.9606920415224913,0.9612456747404844,0.0005178764549168006,17
34,0.16265718142191568,0.003821451269540109,0.02864662806193034,0.0011552613410908748,0.0011299326837831104,80,46,9,"{'tree__ccp_alpha': 0.0011299326837831104, 'tree__max_depth': 80, 'tree__max_leaf_nodes': 46, 'tree__min_samples_split': 9}",0.9593079584775086,0.9593079584775086,0.9586159169550174,0.9590772779700115,0.00032623150227748324,18
70,0.16002345085144043,0.00117378434449242,0.029061317443847656,0.0019069445400539302,0.0011518928482473062,40,41,4,"{'tree__ccp_alpha': 0.0011518928482473062, 'tree__max_depth': 40, 'tree__max_leaf_nodes': 41, 'tree__min_samples_split': 4}",0.9583391003460208,0.9587543252595155,0.9566782006920416,0.957923875432526,0.0008969883319595347,19
52,0.14823484420776367,0.0029450736603530165,0.029435078303019207,0.0010335295776443712,0.00023815711959613501,27,77,4,"{'tree__ccp_alpha': 0.00023815711959613501, 'tree__max_depth': 27, 'tree__max_leaf_nodes': 77, 'tree__min_samples_split': 4}",0.9565397923875433,0.9587543252595155,0.9582006920415225,0.957831603229527,0.0009409955273066037,20
4,0.14335060119628906,0.0016113948702835947,0.02988115946451823,0.002643844499325087,3.757153713719712e-05,27,61,3,"{'tree__ccp_alpha': 3.757153713719712e-05, 'tree__max_depth': 27, 'tree__max_leaf_nodes': 61, 'tree__min_samples_split': 3}",0.9562629757785467,0.9584775086505191,0.9582006920415225,0.9576470588235294,0.0009851975319060205,21
72,0.1518529256184896,0.004521795495883967,0.030705054601033527,0.0006084762367669395,1.6858876286838377e-06,28,43,3,"{'tree__ccp_alpha': 1.6858876286838377e-06, 'tree__max_depth': 28, 'tree__max_leaf_nodes': 43, 'tree__min_samples_split': 3}",0.9559861591695502,0.9573702422145328,0.956955017301038,0.9567704728950405,0.0005799218034590885,22
5,0.16279315948486328,0.008328553949131788,0.033161163330078125,0.007204543645545971,2.4063976509740664e-06,25,100,6,"{'tree__ccp_alpha': 2.4063976509740664e-06, 'tree__max_depth': 25, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 6}",0.9550173010380623,0.9562629757785467,0.9580622837370242,0.9564475201845443,0.001249939301881797,23
