,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
55,0.2180956999460856,0.002054853761325937,0.03221337000528971,0.0013340882448648324,0.31229004923468145,96,84,9,"{'tree__ccp_alpha': 0.31229004923468145, 'tree__max_depth': 96, 'tree__max_leaf_nodes': 84, 'tree__min_samples_split': 9}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
53,0.11555202802022298,0.004855267938187125,0.028337955474853516,0.0032695904802110044,0.7373409136727989,17,54,3,"{'tree__ccp_alpha': 0.7373409136727989, 'tree__max_depth': 17, 'tree__max_leaf_nodes': 54, 'tree__min_samples_split': 3}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
30,0.12811382611592612,0.003584457504169934,0.021291017532348633,0.007347681704449112,0.4814106248816151,63,26,4,"{'tree__ccp_alpha': 0.4814106248816151, 'tree__max_depth': 63, 'tree__max_leaf_nodes': 26, 'tree__min_samples_split': 4}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
27,0.17219010988871256,0.008944155378696911,0.020433346430460613,0.00743848364453976,0.25985873871672716,73,56,2,"{'tree__ccp_alpha': 0.25985873871672716, 'tree__max_depth': 73, 'tree__max_leaf_nodes': 56, 'tree__min_samples_split': 2}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
21,0.13829517364501953,0.003813174008185302,0.02641145388285319,0.007685232951117687,7.178391975024563,22,97,10,"{'tree__ccp_alpha': 7.178391975024563, 'tree__max_depth': 22, 'tree__max_leaf_nodes': 97, 'tree__min_samples_split': 10}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
19,0.09664297103881836,0.0010945711711628247,0.027750809987386067,0.009220151992472028,1.506190418331602,86,15,3,"{'tree__ccp_alpha': 1.506190418331602, 'tree__max_depth': 86, 'tree__max_leaf_nodes': 15, 'tree__min_samples_split': 3}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
16,0.1351004441579183,0.0071670714336829686,0.0374457041422526,0.006693278667038001,1.7382045381664417,37,34,5,"{'tree__ccp_alpha': 1.7382045381664417, 'tree__max_depth': 37, 'tree__max_leaf_nodes': 34, 'tree__min_samples_split': 5}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
15,0.14148608843485513,0.001186893590050756,0.03192885716756185,0.0005489112464911277,8.605803664827288,26,46,10,"{'tree__ccp_alpha': 8.605803664827288, 'tree__max_depth': 26, 'tree__max_leaf_nodes': 46, 'tree__min_samples_split': 10}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
13,0.2318147818247477,0.007675477053261427,0.038465023040771484,0.006147117853194752,1.6414275447956577,80,95,4,"{'tree__ccp_alpha': 1.6414275447956577, 'tree__max_depth': 80, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 4}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
2,0.08611512184143066,0.004883781084184285,0.03148635228474935,0.0058236705675558074,0.8604143562953827,24,11,4,"{'tree__ccp_alpha': 0.8604143562953827, 'tree__max_depth': 24, 'tree__max_leaf_nodes': 11, 'tree__min_samples_split': 4}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
58,0.18116164207458496,0.004595768124318452,0.026997963587443035,0.007308593951290835,1.6858243761871827,60,64,9,"{'tree__ccp_alpha': 1.6858243761871827, 'tree__max_depth': 60, 'tree__max_leaf_nodes': 64, 'tree__min_samples_split': 9}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
96,0.0645154317220052,0.003395933231767454,0.03238066037495931,0.0007852516894765701,0.3272065687802944,6,4,8,"{'tree__ccp_alpha': 0.3272065687802944, 'tree__max_depth': 6, 'tree__max_leaf_nodes': 4, 'tree__min_samples_split': 8}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
101,0.08644421895345052,0.006264522798353555,0.030967076619466145,0.0023198286147239505,1.100792752291906,84,11,7,"{'tree__ccp_alpha': 1.100792752291906, 'tree__max_depth': 84, 'tree__max_leaf_nodes': 11, 'tree__min_samples_split': 7}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,741
